entity,type,source_url
Carnegie Mellon,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
Sam Corbett-Davis,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
the Max Planck Institute for Intelligent Systems,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
the United Nations',ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
Daniel Crevier,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
the next 20 years,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
Arthur Samuel's,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Daniel Bobrow's,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Newell,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
Terry Winograd's,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Hans Moravec[370,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Rodney Brooks[371,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Nouvelle AI.[371,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
Matteo Wong,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
The Atlantic,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
decades,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
Jack Clark,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
a half-decade,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
Nils Nilsson,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
1983,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
Dreyfus,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Searle,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
19 February 2008,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
the Wayback Machine,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
26 July 2006,DATE,https://en.wikipedia.org/wiki/Artificial_intelligence
Kaplan,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Andreas,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Haenlein,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Michael,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Siri,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
Business Horizons,ORG,https://en.wikipedia.org/wiki/Artificial_intelligence
Snow White,PERSON,https://en.wikipedia.org/wiki/Artificial_intelligence
